Date,EURAUD,AUDNZD,GBPMXN,GBPJPY,USDSEK,EURJPY,EURMXN,CHFPLN,USDJPY,USDMXN,EURZAR,AUDJPY,GBPCAD,GBPNZD,AUDCHF,NZDUSD,USDZAR,NZDCHF,EURSEK,CHFJPY,GBPAUD,GBPCHF,EURNOK,GBPPLN,USDCHF,CADJPY,USDTRY,GBPUSD,EURCZK,EURCNH,USDNOK,EURCHF,USDHUF,EURHUF,GBPZAR,AUDUSD,USDPLN,USDCZK,USDCNH,NZDJPY,EURNZD,EURCAD,EURGBP,EURUSD,EURPLN,CHFHUF,CADCHF,EURTRY,AUDCAD,USDCAD,NZDCAD
2023-04-05 00:00:00,1.62224,1.07005,22.6566,164.559,10.2628,144.223,19.8582,4.713,131.709,18.1266,19.6166,88.885,1.68054,1.98088,0.6116699999999999,0.63094,17.896299999999997,0.57159,11.2462,145.316,1.85091,1.13239,11.2794,5.3366,0.90576,97.924,19.20458,1.25001,23.446,7.53318,10.2924,0.99242,343.98,377.51,22.3871,0.67523,4.2666,21.382,6.876849999999999,83.066,1.73571,1.47286,0.87634,1.09555,4.6772,380.41,0.6736,21.13537,0.90786,1.3444,0.84819
2023-04-05 00:01:00,1.62232,1.0699999999999998,22.6588,164.55,10.2628,144.2,19.8582,4.7132,131.677,18.1269,19.6181,88.866,1.6806,1.98046,0.6116400000000001,0.6309499999999999,17.896299999999997,0.57159,11.2462,145.291,1.85084,1.13239,11.2794,5.3366,0.90572,97.901,19.20458,1.25006,23.444,7.53318,10.2947,0.9924,343.95,377.51,22.3871,0.67519,4.2642,21.382,6.876849999999999,83.048,1.7358600000000002,1.47292,0.87636,1.09563,4.6772,380.41,0.67357,21.1359,0.90785,1.34448,0.8482500000000001
2023-04-05 00:02:00,1.62232,1.06993,22.6588,164.53300000000002,10.2628,144.19199999999998,19.8581,4.7132,131.68099999999998,18.1226,19.6173,88.861,1.6806,1.98037,0.61167,0.6309499999999999,17.896299999999997,0.57164,11.2462,145.288,1.85092,1.13239,11.2794,5.3366,0.90576,97.906,19.20458,1.24998,23.444,7.53338,10.2947,0.99242,343.95,377.51,22.3871,0.67516,4.2662,21.382,6.876849999999999,83.048,1.73588,1.4729100000000002,0.8763799999999999,1.0956,4.6772,380.41,0.67363,21.14746,0.9078,1.34439,0.84821
2023-04-05 00:03:00,1.62232,1.06989,22.6589,164.52800000000002,10.2648,144.188,19.8582,4.7131,131.677,18.1227,19.6149,88.85499999999999,1.6806,1.98038,0.61167,0.63095,17.8978,0.57162,11.2512,145.27700000000002,1.85097,1.13237,11.2851,5.3371,0.90576,97.897,19.20214,1.25001,23.444000000000003,7.53331,10.2937,0.99242,343.95,377.51,22.3869,0.67516,4.2662,21.382,6.876849999999999,83.048,1.73585,1.47292,0.8763500000000001,1.09557,4.6772,380.41,0.6736,21.14699,0.90783,1.34445,0.84824
2023-04-05 00:04:00,1.6224299999999998,1.06986,22.6566,164.527,10.265899999999998,144.19,19.8582,4.713,131.67999999999998,18.1227,19.6131,88.853,1.6805100000000002,1.98057,0.6115999999999999,0.63092,17.8978,0.57162,11.2514,145.274,1.85098,1.13237,11.2849,5.3371,0.90578,97.897,19.20255,1.24987,23.442,7.53286,10.2937,0.99241,343.95,377.51,22.3844,0.67508,4.2666,21.382,6.876849999999999,83.046,1.7358600000000002,1.4729100000000002,0.87635,1.09553,4.6772,380.41,0.6736,21.14616,0.90773,1.34445,0.84824
2023-04-05 00:05:00,1.62218,1.06968,22.6507,164.48600000000002,10.2707,144.16400000000002,19.8563,4.7131,131.674,18.1258,19.6114,88.84599999999999,1.68035,1.98019,0.61152,0.6309199999999999,17.9027,0.57156,11.2514,145.25,1.85095,1.13216,11.2848,5.335800000000001,0.90576,97.88,19.20268,1.2499,23.456,7.53286,10.3009,0.99232,344.47,377.51,22.3744,0.67512,4.2681,21.41,6.87744,83.029,1.73554,1.47261,0.87636,1.09549,4.6769,380.39,0.67343,21.12855,0.90755,1.34445,0.8482
2023-04-05 00:06:00,1.62235,1.06975,22.6507,164.485,10.2707,144.17,19.8567,4.7129,131.674,18.1261,19.6124,88.846,1.68036,1.98024,0.6115200000000001,0.6309100000000001,17.9027,0.57152,11.2514,145.248,1.85098,1.13212,11.2848,5.3358,0.90575,97.881,19.19933,1.24987,23.456,7.53232,10.3009,0.99233,344.47,377.51,22.3744,0.67512,4.2681,21.41,6.87744,83.02799999999999,1.7355999999999998,1.47277,0.8763700000000001,1.09554,4.6769,380.39,0.67348,21.129240000000003,0.90759,1.34446,0.8482
2023-04-05 00:07:00,1.62239,1.06977,22.6507,164.443,10.2699,144.139,19.8572,4.713,131.639,18.126,19.6128,88.824,1.68032,1.98033,0.6114999999999999,0.63092,17.9027,0.5715,11.2514,145.21,1.85097,1.13212,11.2846,5.3358,0.90574,97.862,19.19933,1.24986,23.456,7.53261,10.3009,0.99234,344.45,377.51,22.3745,0.6751100000000001,4.267799999999999,21.409,6.87744,83.006,1.73573,1.47274,0.87639,1.09556,4.6769,380.39,0.67346,21.12838,0.90756,1.34441,0.8482
2023-04-05 00:08:00,1.62233,1.06976,22.6507,164.46800000000002,10.27,144.157,19.8571,4.7131,131.661,18.126,19.6131,88.836,1.68021,1.98031,0.61151,0.63093,17.9025,0.57151,11.2514,145.238,1.85092,1.1321,11.2845,5.3358,0.90574,97.877,19.19933,1.24986,23.456,7.53273,10.3009,0.99229,344.45,377.51,22.3745,0.6751199999999999,4.2679,21.41,6.87744,83.019,1.73571,1.47273,0.87633,1.09556,4.6769,380.39,0.67341,21.12981,0.90757,1.34443,0.84825
2023-04-05 00:09:00,1.62232,1.06973,22.6507,164.476,10.2699,144.16899999999998,19.8571,4.7131,131.666,18.126,19.6129,88.847,1.68022,1.98023,0.6115200000000001,0.63094,17.9025,0.5715399999999999,11.2514,145.244,1.85095,1.1321,11.2845,5.3353,0.90574,97.884,19.20211,1.24986,23.456,7.53273,10.3009,0.9923,344.45,377.51,22.3745,0.6751199999999999,4.2679,21.41,6.87744,83.02799999999999,1.73565,1.47277,0.87633,1.09556,4.6769,380.39,0.67341,21.12855,0.90759,1.34445,0.84825
