date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.0032,32.0,Tuesday,0
2023-02-14 01:00:00,0.0033499999999999997,33.5,Tuesday,1
2023-02-14 02:00:00,0.003,30.0,Tuesday,2
2023-02-14 03:00:00,0.00315,31.5,Tuesday,3
2023-02-14 04:00:00,0.0034000000000000002,34.0,Tuesday,4
2023-02-14 05:00:00,0.0044,44.0,Tuesday,5
2023-02-14 06:00:00,0.00275,27.5,Tuesday,6
2023-02-14 07:00:00,0.00345,34.5,Tuesday,7
2023-02-14 08:00:00,0.0027,27.0,Tuesday,8
2023-02-14 09:00:00,0.002,20.0,Tuesday,9
2023-02-14 10:00:00,0.002,20.0,Tuesday,10
2023-02-14 11:00:00,0.002,20.0,Tuesday,11
2023-02-14 12:00:00,0.002,20.0,Tuesday,12
2023-02-14 13:00:00,0.002,20.0,Tuesday,13
2023-02-14 14:00:00,0.011800000000000001,118.0,Tuesday,14
2023-02-14 15:00:00,0.002,20.0,Tuesday,15
2023-02-14 16:00:00,0.002,20.0,Tuesday,16
2023-02-14 17:00:00,0.0021000000000000003,21.0,Tuesday,17
2023-02-14 18:00:00,0.0026,26.0,Tuesday,18
2023-02-14 19:00:00,0.00295,29.5,Tuesday,19
2023-02-14 20:00:00,0.0043,43.0,Tuesday,20
2023-02-14 21:00:00,0.0035,35.0,Tuesday,21
2023-02-14 22:00:00,0.0034000000000000002,34.0,Tuesday,22
2023-02-14 23:00:00,0.0093,93.0,Tuesday,23
2023-02-15 00:00:00,0.00655,65.5,Wednesday,0
2023-02-15 01:00:00,0.0054,54.0,Wednesday,1
2023-02-15 02:00:00,0.00425,42.5,Wednesday,2
2023-02-15 03:00:00,0.0039,39.0,Wednesday,3
2023-02-15 04:00:00,0.0048000000000000004,48.0,Wednesday,4
2023-02-15 05:00:00,0.0053,53.0,Wednesday,5
2023-02-15 06:00:00,0.0055,55.0,Wednesday,6
2023-02-15 07:00:00,0.0049499999999999995,49.5,Wednesday,7
2023-02-15 08:00:00,0.0022500000000000003,22.5,Wednesday,8
2023-02-15 09:00:00,0.002,20.0,Wednesday,9
2023-02-15 10:00:00,0.0026,26.0,Wednesday,10
2023-02-15 11:00:00,0.00235,23.5,Wednesday,11
2023-02-15 12:00:00,0.002,20.0,Wednesday,12
2023-02-15 13:00:00,0.002,20.0,Wednesday,13
2023-02-15 14:00:00,0.0031,31.0,Wednesday,14
2023-02-15 15:00:00,0.002,20.0,Wednesday,15
2023-02-15 16:00:00,0.002,20.0,Wednesday,16
2023-02-15 17:00:00,0.002,20.0,Wednesday,17
2023-02-15 18:00:00,0.0020499999999999997,20.5,Wednesday,18
2023-02-15 19:00:00,0.0020499999999999997,20.5,Wednesday,19
2023-02-15 20:00:00,0.0033499999999999997,33.5,Wednesday,20
2023-02-15 21:00:00,0.0036,36.0,Wednesday,21
2023-02-15 22:00:00,0.0038,38.0,Wednesday,22
2023-02-15 23:00:00,0.007549999999999999,75.5,Wednesday,23
2023-02-16 00:00:00,0.00715,71.5,Thursday,0
2023-02-16 01:00:00,0.00535,53.5,Thursday,1
2023-02-16 02:00:00,0.00635,63.5,Thursday,2
2023-02-16 03:00:00,0.00605,60.5,Thursday,3
2023-02-16 04:00:00,0.00545,54.5,Thursday,4
2023-02-16 05:00:00,0.0074,74.0,Thursday,5
2023-02-16 06:00:00,0.0077,77.0,Thursday,6
2023-02-16 07:00:00,0.00735,73.5,Thursday,7
2023-02-16 08:00:00,0.00385,38.5,Thursday,8
2023-02-16 09:00:00,0.002,20.0,Thursday,9
2023-02-16 10:00:00,0.002,20.0,Thursday,10
2023-02-16 11:00:00,0.002,20.0,Thursday,11
2023-02-16 12:00:00,0.002,20.0,Thursday,12
2023-02-16 13:00:00,0.002,20.0,Thursday,13
2023-02-16 14:00:00,0.0063,63.0,Thursday,14
2023-02-16 15:00:00,0.002,20.0,Thursday,15
2023-02-16 16:00:00,0.002,20.0,Thursday,16
2023-02-16 17:00:00,0.0020499999999999997,20.5,Thursday,17
2023-02-16 18:00:00,0.0029,29.0,Thursday,18
2023-02-16 19:00:00,0.00275,27.5,Thursday,19
2023-02-16 20:00:00,0.00405,40.5,Thursday,20
2023-02-16 21:00:00,0.0044,44.0,Thursday,21
2023-02-16 22:00:00,0.00395,39.5,Thursday,22
2023-02-16 23:00:00,0.00775,77.5,Thursday,23
2023-02-17 00:00:00,0.00625,62.5,Friday,0
2023-02-17 01:00:00,0.00505,50.5,Friday,1
2023-02-17 02:00:00,0.00635,63.5,Friday,2
2023-02-17 03:00:00,0.0063999999999999994,64.0,Friday,3
2023-02-17 04:00:00,0.0076,76.0,Friday,4
2023-02-17 05:00:00,0.005549999999999999,55.5,Friday,5
2023-02-17 06:00:00,0.0069,69.0,Friday,6
2023-02-17 07:00:00,0.00625,62.5,Friday,7
2023-02-17 08:00:00,0.0032,32.0,Friday,8
2023-02-17 09:00:00,0.002,20.0,Friday,9
2023-02-17 10:00:00,0.002,20.0,Friday,10
2023-02-17 11:00:00,0.0020499999999999997,20.5,Friday,11
2023-02-17 12:00:00,0.002,20.0,Friday,12
2023-02-17 13:00:00,0.002,20.0,Friday,13
2023-02-17 14:00:00,0.002,20.0,Friday,14
2023-02-17 15:00:00,0.002,20.0,Friday,15
2023-02-17 16:00:00,0.00215,21.5,Friday,16
2023-02-17 17:00:00,0.002,20.0,Friday,17
2023-02-17 18:00:00,0.0024000000000000002,24.0,Friday,18
2023-02-17 19:00:00,0.0028,28.0,Friday,19
2023-02-17 20:00:00,0.0039000000000000003,39.0,Friday,20
2023-02-17 21:00:00,0.003766666666666667,37.666666666666664,Friday,21
2023-02-17 22:00:00,,,Friday,22
2023-02-17 23:00:00,,,Friday,23
