date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.94,94.0,Tuesday,0
2023-02-14 01:00:00,0.8333333333333334,83.33333333333333,Tuesday,1
2023-02-14 02:00:00,0.82,82.0,Tuesday,2
2023-02-14 03:00:00,0.785,78.5,Tuesday,3
2023-02-14 04:00:00,0.74,74.0,Tuesday,4
2023-02-14 05:00:00,0.7733333333333334,77.33333333333333,Tuesday,5
2023-02-14 06:00:00,0.72,72.0,Tuesday,6
2023-02-14 07:00:00,0.47,47.0,Tuesday,7
2023-02-14 08:00:00,0.48000000000000004,48.0,Tuesday,8
2023-02-14 09:00:00,0.2,20.0,Tuesday,9
2023-02-14 10:00:00,0.2,20.0,Tuesday,10
2023-02-14 11:00:00,0.18,18.0,Tuesday,11
2023-02-14 12:00:00,0.21,21.0,Tuesday,12
2023-02-14 13:00:00,0.21000000000000002,21.0,Tuesday,13
2023-02-14 14:00:00,0.405,40.5,Tuesday,14
2023-02-14 15:00:00,0.28,28.0,Tuesday,15
2023-02-14 16:00:00,0.18,18.0,Tuesday,16
2023-02-14 17:00:00,0.18,18.0,Tuesday,17
2023-02-14 18:00:00,0.255,25.5,Tuesday,18
2023-02-14 19:00:00,0.21000000000000002,21.0,Tuesday,19
2023-02-14 20:00:00,0.38,38.0,Tuesday,20
2023-02-14 21:00:00,0.375,37.5,Tuesday,21
2023-02-14 22:00:00,0.6,60.0,Tuesday,22
2023-02-14 23:00:00,1.5,150.0,Tuesday,23
2023-02-15 00:00:00,1.3900000000000001,139.0,Wednesday,0
2023-02-15 01:00:00,0.895,89.5,Wednesday,1
2023-02-15 02:00:00,0.8300000000000001,83.0,Wednesday,2
2023-02-15 03:00:00,0.8366666666666666,83.66666666666667,Wednesday,3
2023-02-15 04:00:00,0.825,82.5,Wednesday,4
2023-02-15 05:00:00,0.775,77.5,Wednesday,5
2023-02-15 06:00:00,0.75,75.0,Wednesday,6
2023-02-15 07:00:00,0.365,36.5,Wednesday,7
2023-02-15 08:00:00,0.45499999999999996,45.5,Wednesday,8
2023-02-15 09:00:00,0.22,22.0,Wednesday,9
2023-02-15 10:00:00,0.245,24.5,Wednesday,10
2023-02-15 11:00:00,0.18,18.0,Wednesday,11
2023-02-15 12:00:00,0.22499999999999998,22.5,Wednesday,12
2023-02-15 13:00:00,0.21,21.0,Wednesday,13
2023-02-15 14:00:00,0.355,35.5,Wednesday,14
2023-02-15 15:00:00,0.2,20.0,Wednesday,15
2023-02-15 16:00:00,0.2,20.0,Wednesday,16
2023-02-15 17:00:00,0.19,19.0,Wednesday,17
2023-02-15 18:00:00,0.20500000000000002,20.5,Wednesday,18
2023-02-15 19:00:00,0.225,22.5,Wednesday,19
2023-02-15 20:00:00,0.4,40.0,Wednesday,20
2023-02-15 21:00:00,0.5449999999999999,54.5,Wednesday,21
2023-02-15 22:00:00,0.64,64.0,Wednesday,22
2023-02-15 23:00:00,1.1600000000000001,116.0,Wednesday,23
2023-02-16 00:00:00,1.3133333333333332,131.33333333333334,Thursday,0
2023-02-16 01:00:00,1.35,135.0,Thursday,1
2023-02-16 02:00:00,0.7050000000000001,70.5,Thursday,2
2023-02-16 03:00:00,0.7,70.0,Thursday,3
2023-02-16 04:00:00,0.73,73.0,Thursday,4
2023-02-16 05:00:00,0.73,73.0,Thursday,5
2023-02-16 06:00:00,0.675,67.5,Thursday,6
2023-02-16 07:00:00,0.36,36.0,Thursday,7
2023-02-16 08:00:00,0.215,21.5,Thursday,8
2023-02-16 09:00:00,0.245,24.5,Thursday,9
2023-02-16 10:00:00,0.22,22.0,Thursday,10
2023-02-16 11:00:00,0.20500000000000002,20.5,Thursday,11
2023-02-16 12:00:00,0.265,26.5,Thursday,12
2023-02-16 13:00:00,0.26,26.0,Thursday,13
2023-02-16 14:00:00,0.20500000000000002,20.5,Thursday,14
2023-02-16 15:00:00,0.25,25.0,Thursday,15
2023-02-16 16:00:00,0.18,18.0,Thursday,16
2023-02-16 17:00:00,0.18,18.0,Thursday,17
2023-02-16 18:00:00,0.2,20.0,Thursday,18
2023-02-16 19:00:00,0.265,26.5,Thursday,19
2023-02-16 20:00:00,0.475,47.5,Thursday,20
2023-02-16 21:00:00,0.49,49.0,Thursday,21
2023-02-16 22:00:00,0.5599999999999999,56.0,Thursday,22
2023-02-16 23:00:00,1.75,175.0,Thursday,23
2023-02-17 00:00:00,1.105,110.5,Friday,0
2023-02-17 01:00:00,0.45,45.0,Friday,1
2023-02-17 02:00:00,0.46499999999999997,46.5,Friday,2
2023-02-17 03:00:00,0.48,48.0,Friday,3
2023-02-17 04:00:00,0.45999999999999996,46.0,Friday,4
2023-02-17 05:00:00,0.47,47.0,Friday,5
2023-02-17 06:00:00,0.495,49.5,Friday,6
2023-02-17 07:00:00,0.36,36.0,Friday,7
2023-02-17 08:00:00,0.18,18.0,Friday,8
2023-02-17 09:00:00,0.20500000000000002,20.5,Friday,9
2023-02-17 10:00:00,0.195,19.5,Friday,10
2023-02-17 11:00:00,0.18,18.0,Friday,11
2023-02-17 12:00:00,0.18,18.0,Friday,12
2023-02-17 13:00:00,0.255,25.5,Friday,13
2023-02-17 14:00:00,0.21,21.0,Friday,14
2023-02-17 15:00:00,0.245,24.5,Friday,15
2023-02-17 16:00:00,0.2,20.0,Friday,16
2023-02-17 17:00:00,0.19,19.0,Friday,17
2023-02-17 18:00:00,0.255,25.5,Friday,18
2023-02-17 19:00:00,0.18000000000000002,18.0,Friday,19
2023-02-17 20:00:00,0.36,36.0,Friday,20
2023-02-17 21:00:00,0.41,41.0,Friday,21
2023-02-17 22:00:00,,,Friday,22
2023-02-17 23:00:00,,,Friday,23
2023-02-18 00:00:00,,,Saturday,0
2023-02-18 01:00:00,,,Saturday,1
2023-02-18 02:00:00,,,Saturday,2
2023-02-18 03:00:00,,,Saturday,3
2023-02-18 04:00:00,,,Saturday,4
2023-02-18 05:00:00,,,Saturday,5
2023-02-18 06:00:00,,,Saturday,6
2023-02-18 07:00:00,,,Saturday,7
2023-02-18 08:00:00,,,Saturday,8
2023-02-18 09:00:00,,,Saturday,9
2023-02-18 10:00:00,,,Saturday,10
2023-02-18 11:00:00,,,Saturday,11
2023-02-18 12:00:00,,,Saturday,12
2023-02-18 13:00:00,,,Saturday,13
