date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.0105,105.0,Tuesday,0
2023-02-14 01:00:00,0.0125,125.0,Tuesday,1
2023-02-14 02:00:00,0.01075,107.5,Tuesday,2
2023-02-14 03:00:00,0.01055,105.5,Tuesday,3
2023-02-14 04:00:00,0.0105,105.0,Tuesday,4
2023-02-14 05:00:00,0.01055,105.5,Tuesday,5
2023-02-14 06:00:00,0.010950000000000001,109.5,Tuesday,6
2023-02-14 07:00:00,0.011949999999999999,119.5,Tuesday,7
2023-02-14 08:00:00,0.013,130.0,Tuesday,8
2023-02-14 09:00:00,0.0122,122.0,Tuesday,9
2023-02-14 10:00:00,0.0116,116.0,Tuesday,10
2023-02-14 11:00:00,0.01165,116.5,Tuesday,11
2023-02-14 12:00:00,0.0115,115.0,Tuesday,12
2023-02-14 13:00:00,0.011099999999999999,111.0,Tuesday,13
2023-02-14 14:00:00,0.01755,175.5,Tuesday,14
2023-02-14 15:00:00,0.0123,123.0,Tuesday,15
2023-02-14 16:00:00,0.01165,116.5,Tuesday,16
2023-02-14 17:00:00,0.011,110.0,Tuesday,17
2023-02-14 18:00:00,0.01125,112.5,Tuesday,18
2023-02-14 19:00:00,0.011,110.0,Tuesday,19
2023-02-14 20:00:00,0.01145,114.5,Tuesday,20
2023-02-14 21:00:00,0.0115,115.0,Tuesday,21
2023-02-14 22:00:00,0.01165,116.5,Tuesday,22
2023-02-14 23:00:00,0.0286,286.0,Tuesday,23
2023-02-15 00:00:00,0.01395,139.5,Wednesday,0
2023-02-15 01:00:00,0.01065,106.5,Wednesday,1
2023-02-15 02:00:00,0.0105,105.0,Wednesday,2
2023-02-15 03:00:00,0.0105,105.0,Wednesday,3
2023-02-15 04:00:00,0.0105,105.0,Wednesday,4
2023-02-15 05:00:00,0.0105,105.0,Wednesday,5
2023-02-15 06:00:00,0.0105,105.0,Wednesday,6
2023-02-15 07:00:00,0.013149999999999998,131.5,Wednesday,7
2023-02-15 08:00:00,0.0128,128.0,Wednesday,8
2023-02-15 09:00:00,0.0141,141.0,Wednesday,9
2023-02-15 10:00:00,0.01225,122.5,Wednesday,10
2023-02-15 11:00:00,0.01175,117.5,Wednesday,11
2023-02-15 12:00:00,0.0122,122.0,Wednesday,12
2023-02-15 13:00:00,0.011550000000000001,115.5,Wednesday,13
2023-02-15 14:00:00,0.015099999999999999,151.0,Wednesday,14
2023-02-15 15:00:00,0.01185,118.5,Wednesday,15
2023-02-15 16:00:00,0.01165,116.5,Wednesday,16
2023-02-15 17:00:00,0.0108,108.0,Wednesday,17
2023-02-15 18:00:00,0.01105,110.5,Wednesday,18
2023-02-15 19:00:00,0.01085,108.5,Wednesday,19
2023-02-15 20:00:00,0.01145,114.5,Wednesday,20
2023-02-15 21:00:00,0.0115,115.0,Wednesday,21
2023-02-15 22:00:00,0.012150000000000001,121.5,Wednesday,22
2023-02-15 23:00:00,0.01915,191.5,Wednesday,23
2023-02-16 00:00:00,0.012650000000000002,126.5,Thursday,0
2023-02-16 01:00:00,0.01105,110.5,Thursday,1
2023-02-16 02:00:00,0.0105,105.0,Thursday,2
2023-02-16 03:00:00,0.0105,105.0,Thursday,3
2023-02-16 04:00:00,0.0105,105.0,Thursday,4
2023-02-16 05:00:00,0.0105,105.0,Thursday,5
2023-02-16 06:00:00,0.0105,105.0,Thursday,6
2023-02-16 07:00:00,0.012,120.0,Thursday,7
2023-02-16 08:00:00,0.01195,119.5,Thursday,8
2023-02-16 09:00:00,0.0123,123.0,Thursday,9
2023-02-16 10:00:00,0.01145,114.5,Thursday,10
2023-02-16 11:00:00,0.01185,118.5,Thursday,11
2023-02-16 12:00:00,0.012,120.0,Thursday,12
2023-02-16 13:00:00,0.0119,119.0,Thursday,13
2023-02-16 14:00:00,0.01905,190.5,Thursday,14
2023-02-16 15:00:00,0.01075,107.5,Thursday,15
2023-02-16 16:00:00,0.011349999999999999,113.5,Thursday,16
2023-02-16 17:00:00,0.01125,112.5,Thursday,17
2023-02-16 18:00:00,0.01115,111.5,Thursday,18
2023-02-16 19:00:00,0.0108,108.0,Thursday,19
2023-02-16 20:00:00,0.0115,115.0,Thursday,20
2023-02-16 21:00:00,0.01185,118.5,Thursday,21
2023-02-16 22:00:00,0.011550000000000001,115.5,Thursday,22
2023-02-16 23:00:00,0.0197,197.0,Thursday,23
2023-02-17 00:00:00,0.011,110.0,Friday,0
2023-02-17 01:00:00,0.0105,105.0,Friday,1
2023-02-17 02:00:00,0.01065,106.5,Friday,2
2023-02-17 03:00:00,0.0105,105.0,Friday,3
2023-02-17 04:00:00,0.0105,105.0,Friday,4
2023-02-17 05:00:00,0.0105,105.0,Friday,5
2023-02-17 06:00:00,0.0109,109.0,Friday,6
2023-02-17 07:00:00,0.0131,131.0,Friday,7
2023-02-17 08:00:00,0.01235,123.5,Friday,8
2023-02-17 09:00:00,0.0117,117.0,Friday,9
2023-02-17 10:00:00,0.011349999999999999,113.5,Friday,10
2023-02-17 11:00:00,0.01165,116.5,Friday,11
2023-02-17 12:00:00,0.01195,119.5,Friday,12
2023-02-17 13:00:00,0.0117,117.0,Friday,13
2023-02-17 14:00:00,0.01095,109.5,Friday,14
2023-02-17 15:00:00,0.01105,110.5,Friday,15
2023-02-17 16:00:00,0.0116,116.0,Friday,16
2023-02-17 17:00:00,0.01155,115.5,Friday,17
2023-02-17 18:00:00,0.0115,115.0,Friday,18
2023-02-17 19:00:00,0.01145,114.5,Friday,19
2023-02-17 20:00:00,0.012,120.0,Friday,20
2023-02-17 21:00:00,0.012066666666666665,120.66666666666667,Friday,21
2023-02-17 22:00:00,,,Friday,22
2023-02-17 23:00:00,,,Friday,23
2023-02-18 00:00:00,,,Saturday,0
2023-02-18 01:00:00,,,Saturday,1
2023-02-18 02:00:00,,,Saturday,2
2023-02-18 03:00:00,,,Saturday,3
2023-02-18 04:00:00,,,Saturday,4
2023-02-18 05:00:00,,,Saturday,5
2023-02-18 06:00:00,,,Saturday,6
2023-02-18 07:00:00,,,Saturday,7
2023-02-18 08:00:00,,,Saturday,8
2023-02-18 09:00:00,,,Saturday,9
2023-02-18 10:00:00,,,Saturday,10
2023-02-18 11:00:00,,,Saturday,11
2023-02-18 12:00:00,,,Saturday,12
2023-02-18 13:00:00,,,Saturday,13
2023-02-18 14:00:00,,,Saturday,14
2023-02-18 15:00:00,,,Saturday,15
2023-02-18 16:00:00,,,Saturday,16
2023-02-18 17:00:00,,,Saturday,17
2023-02-18 18:00:00,,,Saturday,18
