date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.0129,129.0,Tuesday,0
2023-02-14 01:00:00,0.009500000000000001,95.0,Tuesday,1
2023-02-14 02:00:00,0.009399999999999999,94.0,Tuesday,2
2023-02-14 03:00:00,0.00995,99.5,Tuesday,3
2023-02-14 04:00:00,0.0088,88.0,Tuesday,4
2023-02-14 05:00:00,0.01065,106.5,Tuesday,5
2023-02-14 06:00:00,0.008549999999999999,85.5,Tuesday,6
2023-02-14 07:00:00,0.0057,57.0,Tuesday,7
2023-02-14 08:00:00,0.0061,61.0,Tuesday,8
2023-02-14 09:00:00,0.0038,38.0,Tuesday,9
2023-02-14 10:00:00,0.00385,38.5,Tuesday,10
2023-02-14 11:00:00,0.00495,49.5,Tuesday,11
2023-02-14 12:00:00,0.0038,38.0,Tuesday,12
2023-02-14 13:00:00,0.0037,37.0,Tuesday,13
2023-02-14 14:00:00,0.009999999999999998,100.0,Tuesday,14
2023-02-14 15:00:00,0.004399999999999999,44.0,Tuesday,15
2023-02-14 16:00:00,0.0039000000000000003,39.0,Tuesday,16
2023-02-14 17:00:00,0.0037,37.0,Tuesday,17
2023-02-14 18:00:00,0.0037,37.0,Tuesday,18
2023-02-14 19:00:00,0.00445,44.5,Tuesday,19
2023-02-14 20:00:00,0.0054,54.0,Tuesday,20
2023-02-14 21:00:00,0.006,60.0,Tuesday,21
2023-02-14 22:00:00,0.00625,62.5,Tuesday,22
2023-02-14 23:00:00,0.0337,337.0,Tuesday,23
2023-02-15 00:00:00,0.0132,132.0,Wednesday,0
2023-02-15 01:00:00,0.0138,138.0,Wednesday,1
2023-02-15 02:00:00,0.0169,169.0,Wednesday,2
2023-02-15 03:00:00,0.012750000000000001,127.5,Wednesday,3
2023-02-15 04:00:00,0.0097,97.0,Wednesday,4
2023-02-15 05:00:00,0.0082,82.0,Wednesday,5
2023-02-15 06:00:00,0.011099999999999999,111.0,Wednesday,6
2023-02-15 07:00:00,0.0064,64.0,Wednesday,7
2023-02-15 08:00:00,0.0063999999999999994,64.0,Wednesday,8
2023-02-15 09:00:00,0.0037,37.0,Wednesday,9
2023-02-15 10:00:00,0.00385,38.5,Wednesday,10
2023-02-15 11:00:00,0.0039,39.0,Wednesday,11
2023-02-15 12:00:00,0.0037,37.0,Wednesday,12
2023-02-15 13:00:00,0.0042,42.0,Wednesday,13
2023-02-15 14:00:00,0.0135,135.0,Wednesday,14
2023-02-15 15:00:00,0.00395,39.5,Wednesday,15
2023-02-15 16:00:00,0.0037,37.0,Wednesday,16
2023-02-15 17:00:00,0.0049499999999999995,49.5,Wednesday,17
2023-02-15 18:00:00,0.0046,46.0,Wednesday,18
2023-02-15 19:00:00,0.0041,41.0,Wednesday,19
2023-02-15 20:00:00,0.0048000000000000004,48.0,Wednesday,20
2023-02-15 21:00:00,0.00535,53.5,Wednesday,21
2023-02-15 22:00:00,0.0057,57.0,Wednesday,22
2023-02-15 23:00:00,0.028749999999999998,287.5,Wednesday,23
2023-02-16 00:00:00,0.0278,278.0,Thursday,0
2023-02-16 01:00:00,0.01705,170.5,Thursday,1
2023-02-16 02:00:00,0.01045,104.5,Thursday,2
