date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.0365,365.0,Tuesday,0
2023-02-14 01:00:00,0.035750000000000004,357.5,Tuesday,1
2023-02-14 02:00:00,0.033049999999999996,330.5,Tuesday,2
2023-02-14 03:00:00,0.03495,349.5,Tuesday,3
2023-02-14 04:00:00,0.0342,342.0,Tuesday,4
2023-02-14 05:00:00,0.03175,317.5,Tuesday,5
2023-02-14 06:00:00,0.0315,315.0,Tuesday,6
2023-02-14 07:00:00,0.0206,206.0,Tuesday,7
2023-02-14 08:00:00,0.02655,265.5,Tuesday,8
2023-02-14 09:00:00,0.0194,194.0,Tuesday,9
2023-02-14 10:00:00,0.018500000000000003,185.0,Tuesday,10
2023-02-14 11:00:00,0.020200000000000003,202.0,Tuesday,11
2023-02-14 12:00:00,0.0189,189.0,Tuesday,12
2023-02-14 13:00:00,0.02135,213.5,Tuesday,13
2023-02-14 14:00:00,0.04625,462.5,Tuesday,14
2023-02-14 15:00:00,0.023899999999999998,239.0,Tuesday,15
2023-02-14 16:00:00,0.020900000000000002,209.0,Tuesday,16
2023-02-14 17:00:00,0.0229,229.0,Tuesday,17
2023-02-14 18:00:00,0.02155,215.5,Tuesday,18
2023-02-14 19:00:00,0.022600000000000002,226.0,Tuesday,19
2023-02-14 20:00:00,0.0224,224.0,Tuesday,20
2023-02-14 21:00:00,0.024149999999999998,241.5,Tuesday,21
2023-02-14 22:00:00,0.02245,224.5,Tuesday,22
2023-02-14 23:00:00,0.03895,389.5,Tuesday,23
2023-02-15 00:00:00,0.0496,496.0,Wednesday,0
2023-02-15 01:00:00,0.0455,455.0,Wednesday,1
2023-02-15 02:00:00,0.035449999999999995,354.5,Wednesday,2
2023-02-15 03:00:00,0.03405,340.5,Wednesday,3
2023-02-15 04:00:00,0.0351,351.0,Wednesday,4
2023-02-15 05:00:00,0.0341,341.0,Wednesday,5
2023-02-15 06:00:00,0.0316,316.0,Wednesday,6
2023-02-15 07:00:00,0.015,150.0,Wednesday,7
2023-02-15 08:00:00,0.029949999999999997,299.5,Wednesday,8
2023-02-15 09:00:00,0.0206,206.0,Wednesday,9
2023-02-15 10:00:00,0.0182,182.0,Wednesday,10
2023-02-15 11:00:00,0.01855,185.5,Wednesday,11
2023-02-15 12:00:00,0.0216,216.0,Wednesday,12
2023-02-15 13:00:00,0.01975,197.5,Wednesday,13
2023-02-15 14:00:00,0.0271,271.0,Wednesday,14
2023-02-15 15:00:00,0.0208,208.0,Wednesday,15
2023-02-15 16:00:00,0.022600000000000002,226.0,Wednesday,16
2023-02-15 17:00:00,0.0189,189.0,Wednesday,17
2023-02-15 18:00:00,0.01765,176.5,Wednesday,18
2023-02-15 19:00:00,0.0204,204.0,Wednesday,19
2023-02-15 20:00:00,0.017599999999999998,176.0,Wednesday,20
2023-02-15 21:00:00,0.019549999999999998,195.5,Wednesday,21
2023-02-15 22:00:00,0.02285,228.5,Wednesday,22
2023-02-15 23:00:00,0.05045,504.5,Wednesday,23
2023-02-16 00:00:00,0.0516,516.0,Thursday,0
2023-02-16 01:00:00,0.04685,468.5,Thursday,1
2023-02-16 02:00:00,0.03795,379.5,Thursday,2
2023-02-16 03:00:00,0.0332,332.0,Thursday,3
2023-02-16 04:00:00,0.03345,334.5,Thursday,4
2023-02-16 05:00:00,0.0314,314.0,Thursday,5
2023-02-16 06:00:00,0.035250000000000004,352.5,Thursday,6
2023-02-16 07:00:00,0.0208,208.0,Thursday,7
