date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.89,89.0,Tuesday,0
2023-02-14 01:00:00,0.825,82.5,Tuesday,1
2023-02-14 02:00:00,0.755,75.5,Tuesday,2
2023-02-14 03:00:00,0.765,76.5,Tuesday,3
2023-02-14 04:00:00,0.715,71.5,Tuesday,4
2023-02-14 05:00:00,0.765,76.5,Tuesday,5
2023-02-14 06:00:00,0.71,71.0,Tuesday,6
2023-02-14 07:00:00,0.475,47.5,Tuesday,7
2023-02-14 08:00:00,0.375,37.5,Tuesday,8
2023-02-14 09:00:00,0.25,25.0,Tuesday,9
2023-02-14 10:00:00,0.25,25.0,Tuesday,10
2023-02-14 11:00:00,0.25,25.0,Tuesday,11
2023-02-14 12:00:00,0.25,25.0,Tuesday,12
2023-02-14 13:00:00,0.25,25.0,Tuesday,13
2023-02-14 14:00:00,0.405,40.5,Tuesday,14
2023-02-14 15:00:00,0.25,25.0,Tuesday,15
2023-02-14 16:00:00,0.25,25.0,Tuesday,16
2023-02-14 17:00:00,0.25,25.0,Tuesday,17
2023-02-14 18:00:00,0.25,25.0,Tuesday,18
2023-02-14 19:00:00,0.25,25.0,Tuesday,19
2023-02-14 20:00:00,0.47,47.0,Tuesday,20
2023-02-14 21:00:00,0.515,51.5,Tuesday,21
2023-02-14 22:00:00,0.6499999999999999,65.0,Tuesday,22
2023-02-14 23:00:00,1.6,160.0,Tuesday,23
2023-02-15 00:00:00,1.38,138.0,Wednesday,0
2023-02-15 01:00:00,0.9299999999999999,93.0,Wednesday,1
2023-02-15 02:00:00,0.795,79.5,Wednesday,2
2023-02-15 03:00:00,0.815,81.5,Wednesday,3
2023-02-15 04:00:00,0.825,82.5,Wednesday,4
2023-02-15 05:00:00,0.75,75.0,Wednesday,5
2023-02-15 06:00:00,0.73,73.0,Wednesday,6
2023-02-15 07:00:00,0.4,40.0,Wednesday,7
2023-02-15 08:00:00,0.625,62.5,Wednesday,8
2023-02-15 09:00:00,0.25,25.0,Wednesday,9
2023-02-15 10:00:00,0.25,25.0,Wednesday,10
2023-02-15 11:00:00,0.25,25.0,Wednesday,11
2023-02-15 12:00:00,0.25,25.0,Wednesday,12
2023-02-15 13:00:00,0.25,25.0,Wednesday,13
2023-02-15 14:00:00,0.385,38.5,Wednesday,14
2023-02-15 15:00:00,0.25,25.0,Wednesday,15
2023-02-15 16:00:00,0.25,25.0,Wednesday,16
2023-02-15 17:00:00,0.25,25.0,Wednesday,17
2023-02-15 18:00:00,0.25,25.0,Wednesday,18
2023-02-15 19:00:00,0.25,25.0,Wednesday,19
2023-02-15 20:00:00,0.51,51.0,Wednesday,20
2023-02-15 21:00:00,0.64,64.0,Wednesday,21
2023-02-15 22:00:00,0.71,71.0,Wednesday,22
2023-02-15 23:00:00,1.1800000000000002,118.0,Wednesday,23
2023-02-16 00:00:00,1.3900000000000001,139.0,Thursday,0
2023-02-16 01:00:00,1.17,117.0,Thursday,1
2023-02-16 02:00:00,0.855,85.5,Thursday,2
2023-02-16 03:00:00,0.725,72.5,Thursday,3
2023-02-16 04:00:00,0.76,76.0,Thursday,4
2023-02-16 05:00:00,0.725,72.5,Thursday,5
2023-02-16 06:00:00,0.7,70.0,Thursday,6
2023-02-16 07:00:00,0.41000000000000003,41.0,Thursday,7
2023-02-16 08:00:00,0.265,26.5,Thursday,8
2023-02-16 09:00:00,0.26,26.0,Thursday,9
2023-02-16 10:00:00,0.25,25.0,Thursday,10
2023-02-16 11:00:00,0.25,25.0,Thursday,11
2023-02-16 12:00:00,0.25,25.0,Thursday,12
2023-02-16 13:00:00,0.25,25.0,Thursday,13
2023-02-16 14:00:00,0.33999999999999997,34.0,Thursday,14
2023-02-16 15:00:00,0.255,25.5,Thursday,15
2023-02-16 16:00:00,0.25,25.0,Thursday,16
2023-02-16 17:00:00,0.25,25.0,Thursday,17
2023-02-16 18:00:00,0.27,27.0,Thursday,18
2023-02-16 19:00:00,0.27,27.0,Thursday,19
2023-02-16 20:00:00,0.63,63.0,Thursday,20
2023-02-16 21:00:00,0.56,56.0,Thursday,21
2023-02-16 22:00:00,0.6,60.0,Thursday,22
2023-02-16 23:00:00,1.52,152.0,Thursday,23
2023-02-17 00:00:00,1.135,113.5,Friday,0
2023-02-17 01:00:00,0.475,47.5,Friday,1
2023-02-17 02:00:00,0.49,49.0,Friday,2
2023-02-17 03:00:00,0.5,50.0,Friday,3
2023-02-17 04:00:00,0.71,71.0,Friday,4
2023-02-17 05:00:00,0.49,49.0,Friday,5
2023-02-17 06:00:00,0.505,50.5,Friday,6
2023-02-17 07:00:00,0.4,40.0,Friday,7
2023-02-17 08:00:00,0.25,25.0,Friday,8
2023-02-17 09:00:00,0.25,25.0,Friday,9
2023-02-17 10:00:00,0.25,25.0,Friday,10
2023-02-17 11:00:00,0.25,25.0,Friday,11
2023-02-17 12:00:00,0.25,25.0,Friday,12
2023-02-17 13:00:00,0.27,27.0,Friday,13
2023-02-17 14:00:00,0.305,30.5,Friday,14
2023-02-17 15:00:00,0.255,25.5,Friday,15
2023-02-17 16:00:00,0.25,25.0,Friday,16
2023-02-17 17:00:00,0.25,25.0,Friday,17
2023-02-17 18:00:00,0.26,26.0,Friday,18
2023-02-17 19:00:00,0.25,25.0,Friday,19
2023-02-17 20:00:00,0.525,52.5,Friday,20
2023-02-17 21:00:00,0.5933333333333334,59.333333333333336,Friday,21
2023-02-17 22:00:00,,,Friday,22
2023-02-17 23:00:00,,,Friday,23
2023-02-18 00:00:00,,,Saturday,0
2023-02-18 01:00:00,,,Saturday,1
2023-02-18 02:00:00,,,Saturday,2
2023-02-18 03:00:00,,,Saturday,3
2023-02-18 04:00:00,,,Saturday,4
2023-02-18 05:00:00,,,Saturday,5
2023-02-18 06:00:00,,,Saturday,6
2023-02-18 07:00:00,,,Saturday,7
2023-02-18 08:00:00,,,Saturday,8
2023-02-18 09:00:00,,,Saturday,9
2023-02-18 10:00:00,,,Saturday,10
2023-02-18 11:00:00,,,Saturday,11
2023-02-18 12:00:00,,,Saturday,12
2023-02-18 13:00:00,,,Saturday,13
2023-02-18 14:00:00,,,Saturday,14
2023-02-18 15:00:00,,,Saturday,15
2023-02-18 16:00:00,,,Saturday,16
2023-02-18 17:00:00,,,Saturday,17
2023-02-18 18:00:00,,,Saturday,18
2023-02-18 19:00:00,,,Saturday,19
2023-02-18 20:00:00,,,Saturday,20
2023-02-18 21:00:00,,,Saturday,21
2023-02-18 22:00:00,,,Saturday,22
2023-02-18 23:00:00,,,Saturday,23
2023-02-20 00:00:00,0.9349999999999999,93.5,Monday,0
2023-02-20 01:00:00,0.915,91.5,Monday,1
2023-02-20 02:00:00,0.795,79.5,Monday,2
2023-02-20 03:00:00,0.76,76.0,Monday,3
2023-02-20 04:00:00,0.8300000000000001,83.0,Monday,4
2023-02-20 05:00:00,0.8049999999999999,80.5,Monday,5
2023-02-20 06:00:00,0.66,66.0,Monday,6
2023-02-20 07:00:00,0.5,50.0,Monday,7
2023-02-20 08:00:00,0.25,25.0,Monday,8
2023-02-20 09:00:00,0.275,27.5,Monday,9
2023-02-20 10:00:00,0.25,25.0,Monday,10
2023-02-20 11:00:00,0.25,25.0,Monday,11
2023-02-20 12:00:00,0.25,25.0,Monday,12
2023-02-20 13:00:00,0.25,25.0,Monday,13
2023-02-20 14:00:00,0.25,25.0,Monday,14
2023-02-20 15:00:00,0.25,25.0,Monday,15
2023-02-20 16:00:00,0.25,25.0,Monday,16
2023-02-20 17:00:00,0.25,25.0,Monday,17
2023-02-20 18:00:00,0.26,26.0,Monday,18
2023-02-20 19:00:00,0.25,25.0,Monday,19
2023-02-20 20:00:00,0.7949999999999999,79.5,Monday,20
2023-02-20 21:00:00,0.595,59.5,Monday,21
2023-02-20 22:00:00,0.745,74.5,Monday,22
2023-02-20 23:00:00,0.9550000000000001,95.5,Monday,23
