date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.0067,67.0,Tuesday,0
2023-02-14 01:00:00,0.0072499999999999995,72.5,Tuesday,1
2023-02-14 02:00:00,0.006999999999999999,70.0,Tuesday,2
2023-02-14 03:00:00,0.006999999999999999,70.0,Tuesday,3
2023-02-14 04:00:00,0.007300000000000001,73.0,Tuesday,4
2023-02-14 05:00:00,0.00685,68.5,Tuesday,5
2023-02-14 06:00:00,0.0072,72.0,Tuesday,6
2023-02-14 07:00:00,0.0069,69.0,Tuesday,7
2023-02-14 08:00:00,0.0083,83.0,Tuesday,8
2023-02-14 09:00:00,0.0076,76.0,Tuesday,9
2023-02-14 10:00:00,0.00645,64.5,Tuesday,10
2023-02-14 11:00:00,0.00675,67.5,Tuesday,11
2023-02-14 12:00:00,0.006500000000000001,65.0,Tuesday,12
2023-02-14 13:00:00,0.00625,62.5,Tuesday,13
2023-02-14 14:00:00,0.0127,127.0,Tuesday,14
2023-02-14 15:00:00,0.0063,63.0,Tuesday,15
2023-02-14 16:00:00,0.007050000000000001,70.5,Tuesday,16
2023-02-14 17:00:00,0.00655,65.5,Tuesday,17
2023-02-14 18:00:00,0.00685,68.5,Tuesday,18
2023-02-14 19:00:00,0.006,60.0,Tuesday,19
2023-02-14 20:00:00,0.0065,65.0,Tuesday,20
2023-02-14 21:00:00,0.00675,67.5,Tuesday,21
2023-02-14 22:00:00,0.00705,70.5,Tuesday,22
2023-02-14 23:00:00,0.020900000000000002,209.0,Tuesday,23
2023-02-15 00:00:00,0.024800000000000003,248.0,Wednesday,0
2023-02-15 01:00:00,0.007549999999999999,75.5,Wednesday,1
2023-02-15 02:00:00,0.0066,66.0,Wednesday,2
2023-02-15 03:00:00,0.0074,74.0,Wednesday,3
2023-02-15 04:00:00,0.00765,76.5,Wednesday,4
2023-02-15 05:00:00,0.0084,84.0,Wednesday,5
2023-02-15 06:00:00,0.00775,77.5,Wednesday,6
2023-02-15 07:00:00,0.008,80.0,Wednesday,7
2023-02-15 08:00:00,0.008150000000000001,81.5,Wednesday,8
2023-02-15 09:00:00,0.0086,86.0,Wednesday,9
2023-02-15 10:00:00,0.00695,69.5,Wednesday,10
2023-02-15 11:00:00,0.006500000000000001,65.0,Wednesday,11
2023-02-15 12:00:00,0.0073,73.0,Wednesday,12
2023-02-15 13:00:00,0.00755,75.5,Wednesday,13
2023-02-15 14:00:00,0.006,60.0,Wednesday,14
2023-02-15 15:00:00,0.0071,71.0,Wednesday,15
2023-02-15 16:00:00,0.00685,68.5,Wednesday,16
