date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.01497,149.7,Tuesday,0
2023-02-14 01:00:00,0.017935,179.35000000000002,Tuesday,1
2023-02-14 02:00:00,0.01507,150.7,Tuesday,2
2023-02-14 03:00:00,0.00991,99.1,Tuesday,3
2023-02-14 04:00:00,0.0097,97.0,Tuesday,4
2023-02-14 05:00:00,0.010575000000000001,105.75,Tuesday,5
2023-02-14 06:00:00,0.01123,112.3,Tuesday,6
2023-02-14 07:00:00,0.008245,82.45,Tuesday,7
2023-02-14 08:00:00,0.00485,48.5,Tuesday,8
2023-02-14 09:00:00,0.0042,42.0,Tuesday,9
2023-02-14 10:00:00,0.0042,42.0,Tuesday,10
2023-02-14 11:00:00,0.0042,42.0,Tuesday,11
2023-02-14 12:00:00,0.0042,42.0,Tuesday,12
2023-02-14 13:00:00,0.0042,42.0,Tuesday,13
2023-02-14 14:00:00,0.0042,42.0,Tuesday,14
2023-02-14 15:00:00,0.0042,42.0,Tuesday,15
2023-02-14 16:00:00,0.00429,42.9,Tuesday,16
2023-02-14 17:00:00,0.0042,42.0,Tuesday,17
2023-02-14 18:00:00,0.00638,63.8,Tuesday,18
2023-02-14 19:00:00,0.00545,54.5,Tuesday,19
2023-02-14 20:00:00,0.00568,56.8,Tuesday,20
2023-02-14 21:00:00,0.007115,71.15,Tuesday,21
2023-02-14 22:00:00,0.024126666666666668,241.26666666666665,Tuesday,22
2023-02-14 23:00:00,0.02855,285.5,Tuesday,23
2023-02-15 00:00:00,0.02102,210.2,Wednesday,0
2023-02-15 01:00:00,0.027583333333333335,275.8333333333333,Wednesday,1
2023-02-15 02:00:00,0.025515,255.14999999999998,Wednesday,2
2023-02-15 03:00:00,0.02564,256.4,Wednesday,3
2023-02-15 04:00:00,0.01988,198.80000000000004,Wednesday,4
2023-02-15 05:00:00,0.0097,97.0,Wednesday,5
2023-02-15 06:00:00,0.013665,136.65,Wednesday,6
2023-02-15 07:00:00,0.006285000000000001,62.85,Wednesday,7
2023-02-15 08:00:00,0.004635,46.35,Wednesday,8
2023-02-15 09:00:00,0.0042,42.0,Wednesday,9
2023-02-15 10:00:00,0.0042,42.0,Wednesday,10
2023-02-15 11:00:00,0.0042,42.0,Wednesday,11
2023-02-15 12:00:00,0.0042,42.0,Wednesday,12
2023-02-15 13:00:00,0.0042,42.0,Wednesday,13
2023-02-15 14:00:00,0.0046,46.0,Wednesday,14
2023-02-15 15:00:00,0.0042,42.0,Wednesday,15
2023-02-15 16:00:00,0.0042,42.0,Wednesday,16
2023-02-15 17:00:00,0.00451,45.1,Wednesday,17
2023-02-15 18:00:00,0.004505,45.05,Wednesday,18
2023-02-15 19:00:00,0.00564,56.4,Wednesday,19
2023-02-15 20:00:00,0.0047,47.0,Wednesday,20
2023-02-15 21:00:00,0.00504,50.4,Wednesday,21
2023-02-15 22:00:00,0.014249999999999999,142.5,Wednesday,22
2023-02-15 23:00:00,0.01772,177.2,Wednesday,23
2023-02-16 00:00:00,0.023985,239.85,Thursday,0
2023-02-16 01:00:00,0.01345,134.5,Thursday,1
2023-02-16 02:00:00,0.010175,101.75,Thursday,2
2023-02-16 03:00:00,0.0097,97.0,Thursday,3
2023-02-16 04:00:00,0.0097,97.0,Thursday,4
2023-02-16 05:00:00,0.0097,97.0,Thursday,5
2023-02-16 06:00:00,0.0097,97.0,Thursday,6
2023-02-16 07:00:00,0.007605000000000001,76.05000000000001,Thursday,7
2023-02-16 08:00:00,0.005719999999999999,57.2,Thursday,8
