date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.0237,237.0,Tuesday,0
2023-02-14 01:00:00,0.020450000000000003,204.5,Tuesday,1
2023-02-14 02:00:00,0.0175,175.0,Tuesday,2
2023-02-14 03:00:00,0.016333333333333335,163.33333333333334,Tuesday,3
2023-02-14 04:00:00,0.0162,162.0,Tuesday,4
2023-02-14 05:00:00,0.016649999999999998,166.5,Tuesday,5
2023-02-14 06:00:00,0.0178,178.0,Tuesday,6
2023-02-14 07:00:00,0.0129,129.0,Tuesday,7
2023-02-14 08:00:00,0.0156,156.0,Tuesday,8
2023-02-14 09:00:00,0.014450000000000001,144.5,Tuesday,9
2023-02-14 10:00:00,0.01355,135.5,Tuesday,10
2023-02-14 11:00:00,0.01345,134.5,Tuesday,11
2023-02-14 12:00:00,0.01355,135.5,Tuesday,12
2023-02-14 13:00:00,0.014849999999999999,148.5,Tuesday,13
2023-02-14 14:00:00,0.04385,438.5,Tuesday,14
2023-02-14 15:00:00,0.01645,164.5,Tuesday,15
2023-02-14 16:00:00,0.015349999999999999,153.5,Tuesday,16
2023-02-14 17:00:00,0.01465,146.5,Tuesday,17
2023-02-14 18:00:00,0.015050000000000001,150.5,Tuesday,18
2023-02-14 19:00:00,0.0159,159.0,Tuesday,19
2023-02-14 20:00:00,0.0129,129.0,Tuesday,20
2023-02-14 21:00:00,0.0129,129.0,Tuesday,21
2023-02-14 22:00:00,0.017566666666666664,175.66666666666666,Tuesday,22
2023-02-14 23:00:00,0.0552,552.0,Tuesday,23
2023-02-15 00:00:00,0.0317,317.0,Wednesday,0
2023-02-15 01:00:00,0.025599999999999998,256.0,Wednesday,1
2023-02-15 02:00:00,0.025750000000000002,257.5,Wednesday,2
2023-02-15 03:00:00,0.02055,205.5,Wednesday,3
2023-02-15 04:00:00,0.0225,225.0,Wednesday,4
2023-02-15 05:00:00,0.02155,215.5,Wednesday,5
2023-02-15 06:00:00,0.02345,234.5,Wednesday,6
2023-02-15 07:00:00,0.0129,129.0,Wednesday,7
2023-02-15 08:00:00,0.01515,151.5,Wednesday,8
2023-02-15 09:00:00,0.0157,157.0,Wednesday,9
2023-02-15 10:00:00,0.01405,140.5,Wednesday,10
2023-02-15 11:00:00,0.0139,139.0,Wednesday,11
2023-02-15 12:00:00,0.0148,148.0,Wednesday,12
2023-02-15 13:00:00,0.014249999999999999,142.5,Wednesday,13
2023-02-15 14:00:00,0.0174,174.0,Wednesday,14
2023-02-15 15:00:00,0.0139,139.0,Wednesday,15
2023-02-15 16:00:00,0.0156,156.0,Wednesday,16
2023-02-15 17:00:00,0.0137,137.0,Wednesday,17
2023-02-15 18:00:00,0.0139,139.0,Wednesday,18
2023-02-15 19:00:00,0.0135,135.0,Wednesday,19
2023-02-15 20:00:00,0.0129,129.0,Wednesday,20
2023-02-15 21:00:00,0.0129,129.0,Wednesday,21
2023-02-15 22:00:00,0.0129,129.0,Wednesday,22
2023-02-15 23:00:00,0.055349999999999996,553.5,Wednesday,23
2023-02-16 00:00:00,0.043899999999999995,439.0,Thursday,0
2023-02-16 01:00:00,0.025533333333333335,255.33333333333334,Thursday,1
2023-02-16 02:00:00,0.0217,217.0,Thursday,2
2023-02-16 03:00:00,0.019450000000000002,194.5,Thursday,3
2023-02-16 04:00:00,0.018600000000000002,186.0,Thursday,4
2023-02-16 05:00:00,0.02185,218.5,Thursday,5
2023-02-16 06:00:00,0.0218,218.0,Thursday,6
2023-02-16 07:00:00,0.0129,129.0,Thursday,7
2023-02-16 08:00:00,0.01355,135.5,Thursday,8
2023-02-16 09:00:00,0.01425,142.5,Thursday,9
2023-02-16 10:00:00,0.0132,132.0,Thursday,10
2023-02-16 11:00:00,0.01355,135.5,Thursday,11
2023-02-16 12:00:00,0.01335,133.5,Thursday,12
2023-02-16 13:00:00,0.013049999999999999,130.5,Thursday,13
2023-02-16 14:00:00,0.01745,174.5,Thursday,14
2023-02-16 15:00:00,0.0142,142.0,Thursday,15
2023-02-16 16:00:00,0.01445,144.5,Thursday,16
2023-02-16 17:00:00,0.0142,142.0,Thursday,17
2023-02-16 18:00:00,0.01515,151.5,Thursday,18
2023-02-16 19:00:00,0.0169,169.0,Thursday,19
2023-02-16 20:00:00,0.0129,129.0,Thursday,20
2023-02-16 21:00:00,0.0129,129.0,Thursday,21
2023-02-16 22:00:00,0.0129,129.0,Thursday,22
2023-02-16 23:00:00,0.04513333333333334,451.3333333333333,Thursday,23
2023-02-17 00:00:00,0.0405,405.0,Friday,0
2023-02-17 01:00:00,0.033800000000000004,338.0,Friday,1
2023-02-17 02:00:00,0.022199999999999998,222.0,Friday,2
2023-02-17 03:00:00,0.02,200.0,Friday,3
